HomePrice,CensusTract
325000,12099005954
187595,12101030411
210000,12083001209
213399,12097041301
211008,12086000418
186745,12083000904
246000,12009064400
100000,12035060206
214620,12011030601
185895,12001001815
194878,12081001915
198500,12117020402
184875,12011010202
213150,12021010516
184705,12127091035
210781,12127091034
185896,12083001105
249900,12011100201
208743,12127083009
205824,12123950100
185300,12127090202
181645,12129010206
205055,12081001107
185845,12009060500
159900,12005001302
204287,12031010800
204096,12099004821
180540,12055960602
163800,12057005302
85000,12093910202
180115,12009063105
220000,12115001203
193507,12086011009
191880,12073002101
197000,12015030102
196934,12017450401
190163,12069031105
175610,12057005302
222600,12011070321
175015,12055961601
174760,12015020700
195320,12103025800
201095,12105014201
173740,12081001404
174377,12086015400
182000,12091023305
178091,12017451604
180811,12017450309
194975,12103027317
263000,12099007742
192672,12101031006
190190,12057001200
175000,12069030806
189810,12031012500
169320,12011031001
190091,12101031401
181951,12086011410
178647,12031010305
186566,12113010823
196317,12055960402
176000,12086981000
175394,12127090101
167875,12103024901
167620,12017451702
175000,12071001915
179920,12011060109
168960,12053041203
167025,12001001202
166940,12057014106
186815,12009061002
49750,12033002100
165240,12031013404
169899,12127091031
183793,12101031809
164645,12019031303
189826,12111381605
187597,12111381103
164082,12011010702
163880,12041950201
184895,12117020402
163370,12011031001
186337,12101031503
163200,12086003915
164287,12011070310
99900,12039020400
187277,12091020500
171000,12095016747
161925,12107951402
161755,12057004800
161585,12127081102
188199,12127081800
174000,12099005922
189900,12071050208
184000,12017450104
161160,12019031105
160905,12045960101
160650,12086018300
159000,12007000301
186318,12011020405
159545,12007000202
210000,12075970303
159205,12127082506
179595,12127091020
166000,12099000304
157930,12031014901
179155,12031013402
157675,12099004702
176303,12071040123
89900,12045960200
159338,12017450308
175050,12095016738
161564,12095013406
180711,12069031106
156570,12127080805
170590,12031011904
156060,12123950401
155975,12099005921
162678,12071001801
156038,12095017022
166400,12091020500
163437,12086980500
154530,12055961402
154275,12031016102
154190,12107951000
163148,12101030412
233000,12003040101
173375,12075970600
174890,12017451002
153000,12035060304
158000,12086019600
161910,12099007909
179900,12073001500
163278,12095017504
170136,12031010104
170239,12017451400
155160,12086010501
160000,12071001002
163089,12111381605
154563,12099005957
152810,12069030915
164590,12119911500
170879,12031015100
164595,12055960602
190000,12011060117
150620,12009062108
151000,12086016502
150280,12105011721
171495,12033002703
156308,12115002509
172250,12083001103
167010,12031010900
145000,12073002701
148665,12115002604
169459,12017450309
154708,12101031301
167327,12069030307
151700,12073002302
174900,12103025009
146795,12005001501
151000,12086018200
27900,12101030906
165966,12009060400
445000,12101031205
145010,12059960201
144670,12037970102
163008,12005001502
144245,12005000302
153792,12127082404
155079,12097043208
143650,12086007609
144000,12011090401
143480,12055961402
159885,12033003002
150349,12011020405
141780,12101033101
161408,12073002505
144725,12103027404
251000,12115000602
140505,12073002302
161895,12027010200
139910,12091021102
139400,12073002302
59900,12031016300
139230,12105014904
155000,12011110345
44900,12073000302
